"DR1TFIBE.Code.or.Value","DR1TFIBE.Value.Description","DR1TFIBE.Count","DR1TFIBE.Cumulative","DR1TFIBE.Skip.to.Item"
"0 to 107.8","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
