"SSMSI.Code.or.Value","SSMSI.Value.Description","SSMSI.Count","SSMSI.Cumulative","SSMSI.Skip.to.Item"
"0 to 4","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
