"URDDHBLC.Code.or.Value","URDDHBLC.Value.Description","URDDHBLC.Count","URDDHBLC.Cumulative","URDDHBLC.Skip.to.Item"
"0","At or above the detection limit",2655,2655,NA
"1","Below lower detection limit",0,2655,NA
".","Missing",324,2979,NA
