"WBXP072.Code.or.Value","WBXP072.Value.Description","WBXP072.Count","WBXP072.Cumulative","WBXP072.Skip.to.Item"
"-125.2819 to 100.1849","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
