"WBXF003.Code.or.Value","WBXF003.Value.Description","WBXF003.Count","WBXF003.Cumulative","WBXF003.Skip.to.Item"
"280.6155 to 280.6155","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
