"DCQ240.Code.or.Value","DCQ240.Value.Description","DCQ240.Count","DCQ240.Cumulative","DCQ240.Skip.to.Item"
"1","Yes",852,852,NA
"2","No",79,931,NA
".","Missing",336,1267,NA
