"RFXT116.Code.or.Value","RFXT116.Value.Description","RFXT116.Count","RFXT116.Cumulative","RFXT116.Skip.to.Item"
"1008 to 1017","Range of Values",33684,33684,NA
".","Missing",37,33721,NA
