"DXXHELI.Code.or.Value","DXXHELI.Value.Description","DXXHELI.Count","DXXHELI.Cumulative","DXXHELI.Skip.to.Item"
"2155.3 to 5690.2","Range of Values",4072,4072,NA
".","Missing",1042,5114,NA
