"RFXC025.Code.or.Value","RFXC025.Value.Description","RFXC025.Count","RFXC025.Cumulative","RFXC025.Skip.to.Item"
"-8.123 to 5.391","Range of Values",33710,33710,NA
".","Missing",11,33721,NA
