"SSCA153I.Code.or.Value","SSCA153I.Value.Description","SSCA153I.Count","SSCA153I.Cumulative","SSCA153I.Skip.to.Item"
"0.075 to 359.415","Range of Values",2388,2388,NA
".","Missing",0,2388,NA
