"WBXA100.Code.or.Value","WBXA100.Value.Description","WBXA100.Count","WBXA100.Cumulative","WBXA100.Skip.to.Item"
"-287.2568 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
