"OCQ630.Code.or.Value","OCQ630.Value.Description","OCQ630.Count","OCQ630.Cumulative","OCQ630.Skip.to.Item"
"1 to 20","Range of Values",1018,1018,NA
"77","Refused",1,1019,NA
"99","Don't know",0,1019,NA
".","Missing",5308,6327,NA
