"WHQ570.Code.or.Value","WHQ570.Value.Description","WHQ570.Count","WHQ570.Cumulative","WHQ570.Skip.to.Item"
"1","never,",59,59,NA
"2","sometimes, or",377,436,NA
"3","a lot?",321,757,NA
"7","Refused",0,757,NA
"9","Don't know",0,757,NA
".","Missing",703,1460,NA
