"SS3adlG.Code.or.Value","SS3adlG.Value.Description","SS3adlG.Count","SS3adlG.Cumulative","SS3adlG.Skip.to.Item"
"0.427 to 54.506","Range of Values",486,486,NA
".","Missing",4,490,NA
