"CIQP69.Code.or.Value","CIQP69.Value.Description","CIQP69.Count","CIQP69.Cumulative","CIQP69.Skip.to.Item"
"0 to 5","Range of Values",4,4,NA
"77","Refused",0,4,NA
"99","Don't know",0,4,NA
".","Missing",846,850,NA
