"VTQ280D.Code.or.Value","VTQ280D.Value.Description","VTQ280D.Count","VTQ280D.Cumulative","VTQ280D.Skip.to.Item"
"1","Yes",68,68,NA
"2","No",2519,2587,NA
"7","Refused",0,2587,NA
"9","Don't know",2,2589,NA
".","Missing",705,3294,NA
