"PAQ724b.Code.or.Value","PAQ724b.Value.Description","PAQ724b.Count","PAQ724b.Cumulative","PAQ724b.Skip.to.Item"
"2","BASEBALL/SOFTBALL/CATCH/PITCHING",233,233,NA
".","Missing",9022,9255,NA
