"WTSPO04.Code.or.Value","WTSPO04.Value.Description","WTSPO04.Count","WTSPO04.Cumulative","WTSPO04.Skip.to.Item"
"0.0000000 to 842584.1070500","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
