"ARXCCEX.Code.or.Value","ARXCCEX.Value.Description","ARXCCEX.Count","ARXCCEX.Cumulative","ARXCCEX.Skip.to.Item"
"62.6 to 144.8","Range of Values",4615,4615,NA
".","Missing",386,5001,NA
