"HOQ280C.Code.or.Value","HOQ280C.Value.Description","HOQ280C.Count","HOQ280C.Cumulative","HOQ280C.Skip.to.Item"
"3","Small furry animal",55,55,NA
".","Missing",10293,10348,NA
