"WTSAU51.Code.or.Value","WTSAU51.Value.Description","WTSAU51.Count","WTSAU51.Cumulative","WTSAU51.Skip.to.Item"
"0 to 481091.47588","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
