"WBXP037.Code.or.Value","WBXP037.Value.Description","WBXP037.Count","WBXP037.Cumulative","WBXP037.Skip.to.Item"
"-144.6029 to 146.3522","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
