"MCQ240j.Code.or.Value","MCQ240j.Value.Description","MCQ240j.Count","MCQ240j.Cumulative","MCQ240j.Skip.to.Item"
"27 to 76","Range of Values",8,8,NA
"80","80 years or older",0,8,NA
"77777","Refused",0,8,NA
"99999","Don't know",0,8,NA
".","Missing",9567,9575,NA
