"DXXTRBMD.Code.or.Value","DXXTRBMD.Value.Description","DXXTRBMD.Count","DXXTRBMD.Cumulative","DXXTRBMD.Skip.to.Item"
"0.269 to 1.224","Range of Values",2286,2286,NA
".","Missing",612,2898,NA
