"LBC156LA.Code.or.Value","LBC156LA.Value.Description","LBC156LA.Count","LBC156LA.Cumulative","LBC156LA.Skip.to.Item"
"0.1202 to 18.63","Range of Values",264,264,NA
".","Missing",1,265,NA
