"WBXF102.Code.or.Value","WBXF102.Value.Description","WBXF102.Count","WBXF102.Cumulative","WBXF102.Skip.to.Item"
"6924.2925 to 6924.2925","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
