"HSQ570.Code.or.Value","HSQ570.Value.Description","HSQ570.Count","HSQ570.Cumulative","HSQ570.Skip.to.Item"
"1","Yes",246,246,""
"2","No",4955,5201,"HSQ590"
"7","Refused",0,5201,"HSQ590"
"9","Don't know",6,5207,"HSQ590"
".","Missing",3625,8832,""
