"OPDSNOT.Code.or.Value","OPDSNOT.Value.Description","OPDSNOT.Count","OPDSNOT.Cumulative","OPDSNOT.Skip.to.Item"
"0","None",370,370,NA
"1","Inferior",26,396,NA
"2","Superior",3,399,NA
"3","Both",8,407,NA
"4","Ungradable",7,414,NA
".","Missing",3449,3863,NA
