"TYXP226.Code.or.Value","TYXP226.Value.Description","TYXP226.Count","TYXP226.Cumulative","TYXP226.Skip.to.Item"
"-298 to 162","Range of Values",145,145,NA
".","Missing",5440,5585,NA
