"HEQ010.Code.or.Value","HEQ010.Value.Description","HEQ010.Count","HEQ010.Cumulative","HEQ010.Skip.to.Item"
"1","Yes",57,57,""
"2","No",7798,7855,"HEQ030"
"7","Refused",1,7856,"HEQ030"
"9","Don't know",22,7878,"HEQ030"
".","Missing",0,7878,""
