"LBDSUASI.Code.or.Value","LBDSUASI.Value.Description","LBDSUASI.Count","LBDSUASI.Cumulative","LBDSUASI.Skip.to.Item"
"47.6 to 898.1","Range of Values",5901,5901,NA
".","Missing",500,6401,NA
