"SXQ624.Code.or.Value","SXQ624.Value.Description","SXQ624.Count","SXQ624.Cumulative","SXQ624.Skip.to.Item"
"1 to 95","Range of Values",1427,1427,NA
"100","100 or more",11,1438,NA
"77777","Refused",2,1440,NA
"99999","Don't know",2,1442,NA
".","Missing",3401,4843,NA
