"RFXT136.Code.or.Value","RFXT136.Value.Description","RFXT136.Count","RFXT136.Cumulative","RFXT136.Skip.to.Item"
"1185 to 1194","Range of Values",33675,33675,NA
".","Missing",46,33721,NA
