"WTSTH4YR.Code.or.Value","WTSTH4YR.Value.Description","WTSTH4YR.Count","WTSTH4YR.Cumulative","WTSTH4YR.Skip.to.Item"
"0 to 345844.28659","Range of Values",2547,2547,NA
".","Missing",0,2547,NA
