"LBDLYCSI.Code.or.Value","LBDLYCSI.Value.Description","LBDLYCSI.Count","LBDLYCSI.Cumulative","LBDLYCSI.Skip.to.Item"
"0.011 to 1.502","Range of Values",6463,6463,NA
".","Missing",972,7435,NA
