"WTSPH21.Code.or.Value","WTSPH21.Value.Description","WTSPH21.Count","WTSPH21.Cumulative","WTSPH21.Skip.to.Item"
"0 to 790952.9526","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
