"WTMREP39.Code.or.Value","WTMREP39.Value.Description","WTMREP39.Count","WTMREP39.Cumulative","WTMREP39.Skip.to.Item"
"0 to 263382.4133","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
