"OSD030bh.Code.or.Value","OSD030bh.Value.Description","OSD030bh.Count","OSD030bh.Cumulative","OSD030bh.Skip.to.Item"
"20","20",1,1,NA
"80","80 or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",3814,3815,NA
