"MCQ240aa.Code.or.Value","MCQ240aa.Value.Description","MCQ240aa.Count","MCQ240aa.Cumulative","MCQ240aa.Skip.to.Item"
"30 to 54","Range of Values",4,4,NA
"80","80 years or older",0,4,NA
"77777","Refused",0,4,NA
"99999","Don't know",0,4,NA
".","Missing",9571,9575,NA
