"DXASPND0.Code.or.Value","DXASPND0.Value.Description","DXASPND0.Count","DXASPND0.Cumulative","DXASPND0.Skip.to.Item"
"33.1402 to 49.5598","Range of Values",2463,2463,NA
".","Missing",435,2898,NA
