"CSQ120A.Code.or.Value","CSQ120A.Value.Description","CSQ120A.Count","CSQ120A.Cumulative","CSQ120A.Skip.to.Item"
"1","Sweet",10,10,NA
"77","Refused",0,10,NA
"99","Don't know",1,11,NA
".","Missing",3804,3815,NA
