"DXXL1A.Code.or.Value","DXXL1A.Value.Description","DXXL1A.Count","DXXL1A.Cumulative","DXXL1A.Skip.to.Item"
"0 to 24.93","Range of Values",2213,2213,NA
".","Missing",685,2898,NA
