"DMDHRMAZ.Code.or.Value","DMDHRMAZ.Value.Description","DMDHRMAZ.Count","DMDHRMAZ.Cumulative","DMDHRMAZ.Skip.to.Item"
"1","Married/Living with partner",6006,6006,NA
"2","Widowed/Divorced/Separated",1830,7836,NA
"3","Never Married",1227,9063,NA
"77","Refused",0,9063,NA
"99","Don't Know",0,9063,NA
".","Missing",191,9254,NA
