"DRXIM181.Code.or.Value","DRXIM181.Value.Description","DRXIM181.Count","DRXIM181.Cumulative","DRXIM181.Skip.to.Item"
"0 to 168.5","Range of Values",141931,141931,NA
".","Missing",1073,143004,NA
