"FSD660ZW.Code.or.Value","FSD660ZW.Value.Description","FSD660ZW.Count","FSD660ZW.Cumulative","FSD660ZW.Skip.to.Item"
"1","Yes",39,39,NA
"2","No",149,188,NA
"7","Refused",0,188,NA
"9","Don't know",0,188,NA
".","Missing",9066,9254,NA
