"TYXA151.Code.or.Value","TYXA151.Value.Description","TYXA151.Count","TYXA151.Cumulative","TYXA151.Skip.to.Item"
"0.09 to 6.443","Range of Values",2986,2986,NA
".","Missing",2599,5585,NA
