"LBXZTO.Code.or.Value","LBXZTO.Value.Description","LBXZTO.Count","LBXZTO.Cumulative","LBXZTO.Skip.to.Item"
"1.6550842891 to 6280.15","Range of Values",638,638,NA
".","Missing",213,851,NA
