"WTSCI2YR.Code.or.Value","WTSCI2YR.Value.Description","WTSCI2YR.Count","WTSCI2YR.Cumulative","WTSCI2YR.Skip.to.Item"
"5216.6934328 to 300649.07751","Range of Values",712,712,NA
".","Missing",138,850,NA
