"LBX172LA.Code.or.Value","LBX172LA.Value.Description","LBX172LA.Count","LBX172LA.Cumulative","LBX172LA.Skip.to.Item"
"0.03 to 26.3","Range of Values",1878,1878,NA
".","Missing",407,2285,NA
