"LBXCLC.Code.or.Value","LBXCLC.Value.Description","LBXCLC.Count","LBXCLC.Cumulative","LBXCLC.Skip.to.Item"
"0.4 to 93.63","Range of Values",7265,7265,NA
"0.21","Fill Value of Limit of Detection",3,7268,NA
".","Missing",714,7982,NA
