"SPQ010.Code.or.Value","SPQ010.Value.Description","SPQ010.Count","SPQ010.Cumulative","SPQ010.Skip.to.Item"
"1","Yes",7,7,"SPAENA"
"2","No",1893,1900,""
"7","Refused",0,1900,"SPAENA"
"9","Don't know",3,1903,"SPAENA"
".","Missing",5592,7495,""
