"PAD160.Code.or.Value","PAD160.Value.Description","PAD160.Count","PAD160.Cumulative","PAD160.Skip.to.Item"
"10 to 600","Range of Values",3624,3624,NA
"77777","Refused",0,3624,NA
"99999","Don't know",0,3624,NA
".","Missing",5800,9424,NA
