"AUXU3KL.Code.or.Value","AUXU3KL.Value.Description","AUXU3KL.Count","AUXU3KL.Cumulative","AUXU3KL.Skip.to.Item"
"-10 to 110","Range of Values",2578,2578,NA
"666","No response",16,2594,NA
"888","Could not obtain",283,2877,NA
".","Missing",254,3131,NA
