"WTMREP27.Code.or.Value","WTMREP27.Value.Description","WTMREP27.Count","WTMREP27.Cumulative","WTMREP27.Skip.to.Item"
"0 to 260115.6662","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
