"AUXLR116.Code.or.Value","AUXLR116.Value.Description","AUXLR116.Count","AUXLR116.Cumulative","AUXLR116.Skip.to.Item"
"-43 to 68","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
