"ELISA.Code.or.Value","ELISA.Value.Description","ELISA.Count","ELISA.Cumulative","ELISA.Skip.to.Item"
"1","Positive",158,158,NA
"2","Negative",4041,4199,NA
"3","Equivocal",37,4236,NA
".","Missing",0,4236,NA
