"AUXRR255.Code.or.Value","AUXRR255.Value.Description","AUXRR255.Count","AUXRR255.Cumulative","AUXRR255.Skip.to.Item"
"-14 to 52","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
