"LBXVIDMS.Code.or.Value","LBXVIDMS.Value.Description","LBXVIDMS.Count","LBXVIDMS.Cumulative","LBXVIDMS.Skip.to.Item"
"9.96 to 422","Range of Values",7409,7409,NA
".","Missing",957,8366,NA
