"RFXT164.Code.or.Value","RFXT164.Value.Description","RFXT164.Count","RFXT164.Cumulative","RFXT164.Skip.to.Item"
"1433 to 1441","Range of Values",33667,33667,NA
".","Missing",54,33721,NA
