"WTSHM36.Code.or.Value","WTSHM36.Value.Description","WTSHM36.Count","WTSHM36.Cumulative","WTSHM36.Skip.to.Item"
"0.0000000 to 780501.3171500","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
