"URDTHFLC.Code.or.Value","URDTHFLC.Value.Description","URDTHFLC.Count","URDTHFLC.Cumulative","URDTHFLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2495,2495,NA
".","Missing",199,2694,NA
