"ARQ021BB.Code.or.Value","ARQ021BB.Value.Description","ARQ021BB.Count","ARQ021BB.Cumulative","ARQ021BB.Skip.to.Item"
"2","aching,",190,190,NA
".","Missing",4916,5106,NA
