"LBDRSTLC.Code.or.Value","LBDRSTLC.Value.Description","LBDRSTLC.Count","LBDRSTLC.Cumulative","LBDRSTLC.Skip.to.Item"
"0","At or above the detection limit",632,632,NA
"1","Below lower detection limit",5491,6123,NA
".","Missing",1312,7435,NA
