"AUDTYL63.Code.or.Value","AUDTYL63.Value.Description","AUDTYL63.Count","AUDTYL63.Cumulative","AUDTYL63.Skip.to.Item"
"0 to 2.59","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
